CIMIS Station Number,Date of Image,"Description of Turf (good, poor, bad)",Area of green lawn immediately around station (m2),Maximum amount of green lawn (m2),Notes,"Use 360 Meter Polygon = 45 m around point of interest.360 is 8,100meters^2",,,,,,Total area of lawn surrounding station (m2)
88,12/2005,bad,4050,8100,,,,,,,,
88,08/2006,good,8100,8100,,,,,,,,
88,12/2006,bad,0,8100,,,,,,,,
88,06/2009,NA,NA,8100,,,,,,,,
88,04/2010,good,8100,8100,,,,,,,,
88,09/2010,bad,4050,8100,,,,,,,,
88,03/2011,NA,NA,8100,,,,,,,,
88,04/2013,poor,6958,8100,,,,,,,,
88,01/2015,bad,5973,8100,,,,,,,,
88,04/2017,bad,1620,8100,,,,,,,,
88,08/2017,bad,0,8100,,,,,,,,
88,03/2018,bad,0,8100,,,,,,,,
88,04/2018,bad,0,8100,,,,,,,,
88,12/2019,bad,0,8100,,,,,,,,
88,01/2020,bad,0,8100,,,,,,,,
88,03/2021,bad,0,8100,,,,,,,,
88,12/2022,bad,0,8100,,,,,,,,
125,12/2005,NA,NA,5044,,,,,,,,
125,08/2006,NA,NA,5044,,,,,,,,
125,04/2008,bad,3379.48,5044,,,,,,,,
125,06/2009,NA,NA,5044,,,,,,,,
125,10/2009,poor,4287.4,5044,,,,,,,,
125,04/2011,poor,4085.64,5044,,,,,,,,
125,08/2012,poor,4035.2,5044,,,,,,,,
125,07/2013,bad,2118.48,5044,,,,,,,,
125,08/2013,bad,2118.48,5044,,,,,,,,
125,04/2014,poor,4186.52,5044,,,,,,,,
125,03/2015,bad,1210.56,5044,,,,,,,,
125,10/2016,bad,2875.08,5044,,,,,,,,
125,06/2017,bad,2471.56,5044,,,,,,,,
125,02/2018,bad,403.52,5044,,,,,,,,
125,08/2018,poor,4287.4,5044,,,,,,,,
125,04/2021,good,4791.8,5044,,,,,,,,
125,07/2021,bad,2269.8,5044,,,,,,,,
125,05/2023,bad,353.08,5044,,,,,,,,
257,12/2004,bad,0,8100,,,,,,,,
257,12/2005,NA,NA,8100,,,,,,,,
257,01/2006,NA,NA,8100,,,,,,,,
257,07/2007,NA,NA,8100,,,,,,,,
257,04/2008,good,8100,8100,,,,,,,,
257,06/2009,NA,NA,8100,,,,,,,,
257,05/2013,bad,3807,8100,,,,,,,,
257,07/2017,good,7533,8100,,,,,,,,
257,11/2017,bad,0,8100,,,,,,,,
257,07/2018,bad,3969,8100,,,,,,,,
257,04/2019,bad,3969,8100,,,,,,,,
257,07/2019,bad,2673,8100,,,,,,,,
257,02/2020,NA,NA,8100,,,,,,,,
257,07/2022,bad,0,8100,,,,,,,,
231,06/2003,bad,0,5611,,,,,,,,
231,07/2003,bad,0,5611,,,,,,,,
231,07/2004,NA,NA,5611,,,,,,,,
231,11/2005,bad,0,5611,,,,,,,,
231,12/2005,bad,0,5611,two images,,,,,,,
231,09/2006,bad,0,5611,,,,,,,,
231,03/2009,good,1698,5611,,,,,,,,
231,06/2009,NA,NA,5611,,,,,,,,
231,10/2011,good,1698,5611,,,,,,,,
231,06/2012,good,2322,5611,,,,,,,,
231,07/2016,NA,NA,5611,red image,,,,,,,
231,09/2016,NA,NA,5611,cloudy,,,,,,,
231,02/2022,bad,737,5611,,,,,,,,
231,05/2023,bad,600,5611,,,,,,,,
165,07/2003,NA,NA,8100,,,,,,,,
165,07/2004,NA,NA,8100,,,,,,,,
165,10/2004,good,8100,8100,,,,,,,,
165,12/2005,good,8100,8100,,,,,,,,
165,09/2006,good,8100,8100,,,,,,,,
165,04/2009,good,8100,8100,,,,,,,,
165,06/2009,good,8100,8100,,,,,,,,
165,04/2013,good,8100,8100,,,,,,,,
165,01/2015,poor,6480,8100,,,,,,,,
165,06/2017,good,8100,8100,,,,,,,,
165,02/2018,poor,6480,8100,,,,,,,,
165,08/2018,good,7857,8100,,,,,,,,
165,01/2020,poor,6480,8100,,,,,,,,
165,05/2020,good,7776,8100,,,,,,,,
165,02/2021,poor,6480,8100,,,,,,,,
165,09/2022,good,8100,8100,,,,,,,,
165,11/2022,poor,6480,8100,,,,,,,,
165,01/2023,poor,6480,8100,,,,,,,,
232,07/2003,NA,NA,6660,,,,,,,,
232,07/2004,NA,NA,6660,,,,,,,,
232,12/2005,good,3677,6660,,,,,,,,
232,06/2006,bad,2374,6660,,,,,,,,
232,09/2006,good,3677,6660,,,,,,,,
232,06/2009,bad,2374,6660,,,,,,,,
232,05/2011,NA,NA,6660,,,,,,,,
232,08/2011,NA,NA,6660,,,,,,,,
232,06/2012,good,3677,6660,,,,,,,,
232,04/2013,good,3677,6660,,,,,,,,
232,01/2015,poor,5328,6660,,,,,,,,
232,06/2017,bad,0,6660,,,,,,,,
232,02/2018,bad,0,6660,,,,,,,,
232,08/2018,bad,0,6660,,,,,,,,
232,01/2019,good,6393.6,6660,,,,,,,,
232,05/2020,bad,0,6660,,,,,,,,
232,02/2021,bad,2374,6660,,,,,,,,
232,02/2022,good,6327,6660,,,,,,,,
232,03/2023,bad,0,6660,,,,,,,,
232,08/2022,bad,0,6660,,,,,,,,
232,05/2023,bad,1332,6660,,,,,,,,
202,07/2003,NA,NA,8100,,,,,,,,
202,01/2004,bad,0,8100,,,,,,,,
202,07/2004,NA,NA,8100,,,,,,,,
202,08/2005,bad,0,8100,,,,,,,,
202,12/2005,bad,0,8100,,,,,,,,
202,08/2006,good,8100,8100,,,,,,,,
202,07/2007,poor,6318,8100,,,,,,,,
202,06/2009,NA,NA,8100,,,,,,,,
202,09/2010,NA,NA,8100,,,,,,,,
202,05/2011,NA,NA,8100,,,,,,,,
202,04/2013,poor,6480,8100,,,,,,,,
202,07/2016,bad,3807,8100,,,,,,,,
202,06/2017,poor,6480,8100,,,,,,,,
202,08/2018,poor,6480,8100,,,,,,,,
202,05/2020,bad,4050,8100,,,,,,,,
202,06/2020,bad,4293,8100,,,,,,,,
202,02/2021,bad,4455,8100,,,,,,,,
202,05/2023,bad,4374,8100,,,,,,,,
39,07/2003,NA,NA,3206,,,,,,,,
39,08/2004,NA,NA,3206,,,,,,,,
39,08/2005,NA,NA,3206,,,,,,,,
39,08/2006,NA,NA,3206,,,,,,,,
39,06/2009,good,3206,3206,,,,,,,,
39,09/2009,poor,2725.1,3206,,,,,,,,
39,09/2010,poor,2725.1,3206,,,,,,,,
39,04/2011,good,3045.7,3206,,,,,,,,
39,06/2011,bad,545.02,3206,,,,,,,,
39,08/2012,bad,641.2,3206,180 area around station is good unlike surrounding,,,,,,,
39,03/2013,good,3206,3206,,,,,,,,
39,04/2013,good,3045.7,3206,,,,,,,,
39,02/2014,bad,320.6,3206,,,,,,,,
39,04/2014,good,3109.82,3206,,,,,,,,
39,03/2015,poor,1923.6,3206,180 area round station is good,,,,,,,
39,04/2017,poor,2532.74,3206,180 area round station is good,,,,,,,
39,08/2017,poor,2564.8,3206,180 area round station is good,,,,,,,
39,02/2018,bad,256.48,3206,,,,,,,,
39,08/2018,good,3109.82,3206,,,,,,,,
39,02/2021,good,3206,3206,,,,,,,,
39,04/2021,bad,1282.4,3206,,,,,,,,
39,05/2023,good,3109.82,3206,,,,,,,,
258,07/2003,NA,NA,4757,,,,,,,,
258,08/2004,NA,NA,4757,,,,,,,,
258,08/2005,bad,475.7,4757,,,,,,,,
258,12/2005,NA,NA,4757,,,,,,,,
258,08/2006,NA,NA,4757,,,,,,,,
258,06/2009,NA,NA,4757,,,,,,,,
258,09/2009,bad,2711.49,4757,,,,,,,,
258,09/2010,NA,NA,4757,,,,,,,,
258,06/2011,good,4376.44,4757,,,,,,,,
258,02/2014,poor,3758.03,4757,,,,,,,,
258,03/2015,bad,2140.65,4757,,,,,,,,
258,04/2017,good,4566.72,4757,,,,,,,,
258,02/2018,bad,713.55,4757,,,,,,,,
258,03/2020,bad,2378.5,4757,,,,,,,,
258,02/2021,poor,4043.45,4757,,,,,,,,
169,07/2003,NA,NA,8100,says active in kml but says inacitve in ciimis website ,,,,,,,
169,08/2004,poor,6318,8100,,,,,,,,
169,09/2004,NA,NA,8100,,,,,,,,
169,12/2005,poor,6237,8100,,,,,,,,
169,08/2006,poor,6237,8100,,,,,,,,
169,06/2009,poor,5832,8100,,,,,,,,
169,09/2009,poor,4860,8100,,,,,,,,
169,09/2010,NA,NA,8100,,,,,,,,
169,06/2011,bad,810,8100,,,,,,,,
169,08/2012,bad,5265,8100,,,,,,,,
169,02/2014,bad,0,8100,,,,,,,,
169,03/2015,bad,0,8100,,,,,,,,
169,04/2017,bad,405,8100,,,,,,,,
169,02/2018,bad,0,8100,,,,,,,,
169,03/2020,bad,0,8100,,,,,,,,
169,02/2021,bad,0,8100,,,,,,,,
169,09/2021,bad,0,8100,,,,,,,,
169,06/2022,bad,0,8100,,,,,,,,
169,06/2023,bad,0,8100,,,,,,,,
15,06/2003,NA,NA,6622,,,,,,,,
15,07/2003,NA,NA,6622,,,,,,,,
15,08/2003,NA,NA,6622,,,,,,,,
15,09/2003,NA,NA,6622,,,,,,,,
15,10/2003,NA,NA,6622,,,,,,,,
15,11/2003,good,6026.02,6622,,,,,,,,
15,07/2004,bad,3311,6622,,,,,,,,
15,09/2004,bad,3311,6622,,,,,,,,
15,08/2005,bad,2648.8,6622,,,,,,,,
15,12/2005,bad,3443.44,6622,,,,,,,,
15,08/2006,NA,NA,6622,,,,,,,,
15,06/2009,bad,3178.56,6622,,,,,,,,
15,04/2010,bad,3046.12,6622,fence around station looks green ,,,,,,,
15,09/2010,NA,NA,6622,,,,,,,,
15,05/2011,bad,3112.34,6622,grass aorund fenced area is poor,,,,,,,
15,08/2012,bad,3112.34,6622,,,,,,,,
15,04/2013,bad,3311,6622,grass aorund fenced area is good,,,,,,,
15,05/2015,bad,3244.78,6622,grass aorund fenced area is good,,,,,,,
15,05/2017,poor,5165.16,6622,grass aorund fenced area is good,,,,,,,
15,07/2018,poor,4834.06,6622,,,,,,,,
15,02/2020,NA,NA,6622,,,,,,,,
15,04/2021,good,5893.58,6622,,,,,,,,
15,04/2023,bad,1324.4,6622,,,,,,,,
182,07/2003,NA,NA,4188,,,,,,,,
182,09/2004,NA,NA,4188,,,,,,,,
182,08/2005,NA,NA,4188,,,,,,,,
182,12/2005,NA,NA,4188,,,,,,,,
182,08/2006,NA,NA,4188,,,,,,,,
182,04/2008,good,3894.84,4188,,,,,,,,
182,06/2009,NA,NA,4188,,,,,,,,
182,09/2009,good,3978.6,4188,,,,,,,,
182,09/2010,NA,NA,4188,,,,,,,,
182,06/2011,poor,2931.6,4188,,,,,,,,
182,08/2012,bad,2512.8,4188,,,,,,,,
182,02/2014,poor,3057.24,4188,,,,,,,,
182,03/2015,bad,0,4188,,,,,,,,
182,04/2017,poor,3266.64,4188,,,,,,,,
182,02/2018,bad,502.56,4188,,,,,,,,
182,02/2021,bad,1675.2,4188,,,,,,,,
182,05/2011,poor,2973.48,4188,,,,,,,,
182,05/2022,NA,NA,4188,,,,,,,,
182,05/2023,poor,3224.76,4188,,,,,,,,
80,08/2003,NA,NA,8100,,,,,,,,
80,05/2004,good,8100,8100,,,,,,,,
80,08/2004,NA,NA,8100,,,,,,,,
80,10/2005,good,7938,8100,,,,,,,,
80,12/2005,NA,NA,8100,,,,,,,,
80,11/2006,NA,NA,8100,,,,,,,,
80,03/2007,NA,NA,8100,,,,,,,,
80,06/2009,bad,2349,8100,,,,,,,,
80,09/2009,poor,6318,8100,green around station fence  is bad,,,,,,,
80,04/2011,good,7938,8100,green around station fence  is poor,,,,,,,
80,08/2012,good,7938,8100,green around station fence  is good,,,,,,,
80,08/2012,good,7938,8100,green around station fence  is good,,,,,,,
80,03/2013,poor,6399,8100,green around station fence  is bad,,,,,,,
80,04/2014,good,7695,8100,"green around station fence  is good, lighter green ",,,,,,,
80,11/2014,bad,4455,8100,green around station fence  is good,,,,,,,
80,03/2015,good,7494,8100,green around station fence  is poor,,,,,,,
80,04/2017,good,7938,8100,green around station fence  is good,,,,,,,
80,08/2017,poor,6318,8100,green around station fence  is good,,,,,,,
80,02/2018,bad,4050,8100,green around station fence  is gbad,,,,,,,
80,08/2018,good,7857,8100,green around station fence  is good,,,,,,,
80,08/2019,poor,7290,8100,green around station fence  is good,,,,,,,
80,09/2019,poor,6237,8100,"green around station fence  is good.Discolring of grass,",,,,,,,
80,05/2020,bad,1620,8100,,,,,,,,
80,07/2020,bad,4860,8100,,,,,,,,
80,08/2020,NA,NA,8100,,,,,,,,
80,09/2020,NA,NA,8100,,,,,,,,
80,11/2020,bad,2430,8100,,,,,,,,
80,12/2020,bad,2430,8100,,,,,,,,
80,01/2021,NA,NA,8100,,,,,,,,
80,04/2021,bad,4050,8100,,,,,,,,
80,05/2021,bad,4050,8100,,,,,,,,
80,06/2021,bad,3564,8100,,,,,,,,
80,07/2021,bad,3726,8100,,,,,,,,
80,11/2021,bad,3969,8100,,,,,,,,
80,02/2022,bad,4050,8100,,,,,,,,
80,03/2022,bad,3969,8100,,,,,,,,
80,06/2022,bad,2430,8100,,,,,,,,
80,05/2023,bad,3240,8100,,,,,,,,
5,08/2003,NA,NA,1341,,,,,,,,
5,05/2004,NA,NA,1341,,,,,,,,
5,09/2004,good,1341,1341,,,,,,,,
5,12/2005,good,1341,1341,,,,,,,,
5,08/2006,NA,NA,1341,,,,,,,,
5,04/2008,bad,670.5,1341,,,,,,,,
5,06/2009,NA,NA,1341,,,,,,,,
5,10/2009,good,1341,1341,,,,,,,,
5,04/2011,poor,1341,1341,,,,,,,,
5,08/2011,poor,938.7,1341,,,,,,,,
5,07/2013,poor,938.7,1341,,,,,,,,
5,08/2013,bad,174.33,1341,,,,,,,,
5,04/2014,poor,938.7,1341,,,,,,,,
5,03/2015,good,1300.77,1341,,,,,,,,
5,10/2016,good,1314.18,1341,,,,,,,,
5,06/2017,good,1314.18,1341,,,,,,,,
5,09/2017,good,1341,1341,,,,,,,,
5,02/2018,bad,93.87,1341,,,,,,,,
5,08/2018,good,1287.36,1341,,,,,,,,
5,05/2020,bad,0,1341,,,,,,,,
5,04/2021,bad,0,1341,,,,,,,,
5,05/2022,bad,0,1341,,,,,,,,
5,05/2023,bad,670.5,1341,,,,,,,,
146,12/2005,NA,NA,3476,,,,,,,,
146,08/2006,NA,NA,3476,,,,,,,,
146,03/2007,NA,NA,3476,,,,,,,,
146,04/2008,good,3476,3476,,,,,,,,
146,06/2009,good,3476,3476,,,,,,,,
146,05/2011,poor,2085.6,3476,,,,,,,,
146,08/2012,bad,347.6,3476,,,,,,,,
146,03/2013,good,3302.2,3476,,,,,,,,
146,04/2013,poor,2780.8,3476,,,,,,,,
146,05/2015,bad,1738,3476,,,,,,,,
146,10/2016,good,3441.24,3476,,,,,,,,
146,05/2017,good,3302.2,3476,,,,,,,,
146,07/2018,good,3406.48,3476,,,,,,,,
146,09/2018,NA,NA,3476,,,,,,,,
146,06/2019,good,3302.2,3476,,,,,,,,
146,12/2019,NA,NA,3476,,,,,,,,
146,03/2021,bad,869,3476,,,,,,,,
146,04/2021,NA,NA,3476,,,,,,,,
146,01/2023,bad,1738,3476,,,,,,,,
205,12/2005,bad,2268,8100,,,,,,,,
205,08/2006,NA,NA,8100,,,,,,,,
205,06/2009,NA,NA,8100,,,,,,,,
205,05/2011,good,7857,8100,,,,,,,,
205,08/2012,poor,5670,8100,,,,,,,,
205,04/2013,bad,3240,8100,,,,,,,,
205,05/2015,bad,1053,8100,,,,,,,,
205,05/2017,bad,1296,8100,,,,,,,,
205,07/2018,bad,1377,8100,,,,,,,,
205,05/2020,bad,0,8100,,,,,,,,
205,07/2020,bad,0,8100,,,,,,,,
205,04/4021,bad,3726,8100,,,,,,,,
205,05/2023,bad,0,8100,,,,,,,,
105,07/2004,NA,NA,2993,,,,,,,,
105,12/2005,NA,NA,2993,,,,,,,,
105,08/2006,NA,NA,2993,,,,,,,,
105,06/2009,NA,NA,2993,,,,,,,,
105,09/2009,bad,0,2993,,,,,,,,
105,04/2011,poor,2095.1,2993,,,,,,,,
105,08/2012,good,2993,2993,,,,,,,,
105,04/2014,bad,0,2993,,,,,,,,
105,03/2015,bad,448.95,2993,,,,,,,,
105,04/2017,poor,2095.1,2993,,,,,,,,
105,08/2017,good,2993,2993,,,,,,,,
105,02/2018,bad,0,2993,,,,,,,,
105,08/2018,bad,1646.15,2993,,,,,,,,
105,09/2018,NA,NA,2993,,,,,,,,
105,04/2021,bad,748.25,2993,,,,,,,,
7,04/2003,NA,NA,3172,Black and White Image,,,,,,,
7,05/2003,good,3172,3172,Polygon was made on a different year,,,,,,,
7,06/2004,good,3172,3172,,,,,,,,
7,07/2004,good,3172,3172,blurry image,,,,,,,
7,12/2005,good,3172,3172,,,,,,,,
7,02/2006,good,3172,3172,,,,,,,,
7,08/2006,good,3172,3172,blurry image,,,,,,,
7,12/2006,good,2854.8,3172,,,,,,,,
7,06/2009,good,2854.8,3172,,,,,,,,
7,07/2010,good,3172,3172,,,,,,,,
7,06/2011,good,2854.8,3172,,,,,,,,
7,08/2012,good,3172,3172,,,,,,,,
7,03/2013,good,3172,3172,,,,,,,,
7,4/2015,good,2854.8,3172,,,,,,,,
7,03/2017,good,3172,3172,,,,,,,,
7,04/2018,good,3172,3172,,,,,,,,
7,09/2018,good,3172,3172,,,,,,,,
7,09/2020,good,3172,3172,,,,,,,,
124,07/2004,good,9201.6,10224,two images,,,,,,,
124,12/2005,bad,5112,10224,dry year,,,,,,,
124,08/2006,bad,2044.8,10224,two images,,,,,,,
124,09/2006,good,9201.6,10224,,,,,,,,
124,06/2009,good,9712.8,10224,,,,,,,,
124,08/2009,good,8690.4,10224,,,,,,,,
124,07/2010,good,10224,10224,,,,,,,,
124,09/2010,good,9201.6,10224,"possibly cloudy, image is blurry",,,,,,,
124,06/2011,good,8179.2,10224,,,,,,,,
124,08/2012,good,9201.6,10224,,,,,,,,
124,03/2013,poor,7156.8,10224,,,,,,,,
124,04/2015,poor,7668,10224,,,,,,,,
124,03/2017,bad,5112,10224,dry year,,,,,,,
124,09/2017,poor,7668,10224,,,,,,,,
124,04/2018,bad,3067.2,10224,,,,,,,,
124,09/2018,bad,0,10224,,,,,,,,
124,09/2020,bad,4089.6,10224,,,,,,,,
148,07/2004,poor,5270.2,8108,Blurry image,,,,,,,
148,12/2005,poor,4054,8108,,,,,,,,
148,08/2006,bad,0,8108,Dry year,,,,,,,
148,06/2009,poor,3243.2,8108,,,,,,,,
148,09/2010,bad,0,8108,two images,,,,,,,
148,09/2010B,good,6486.4,8108,"same year as previous, different image",,,,,,,
148,07/2011,bad,4054,8108,,,,,,,,
148,06/2013,good,7702.6,8108,,,,,,,,
148,04/2015,bad,3243.2,8108,,,,,,,,
148,10/2016,poor,4054,8108,weird shape formed in the middle that is vegetated,,,,,,,
148,05/2017,good,7297.2,8108,,,,,,,,
148,05/2018,bad,2432.4,8108,,,,,,,,
148,1/2020,bad,3243.2,8108,,,,,,,,
148,09/2020,poor,4054,8108,cloudy,,,,,,,
148,04/2021,bad,1621.6,8108,,,,,,,,
148,05/2021,poor,3243.2,8108,,,,,,,,
148,06/2022,bad,1216.2,8108,,,,,,,,
148,05/2023,bad,2432.4,8108,,,,,,,,
206,07/2004,NA,NA,8105,blurry image,,,,,,,
206,08/2005,poor,4052.5,8105,,,,,,,,
206,12/2005,poor,4863,8105,,,,,,,,
206,08/2006,poor,4863,8105,2 images,,,,,,,
206,09/2006,good,7942.9,8105,,,,,,,,
206,06/2009,good,5673.5,8105,,,,,,,,
206,06/2010,good,7294.5,8105,,,,,,,,
206,09/2010,good,6889.25,8105,,,,,,,,
206,06/2011,good,7294.5,8105,,,,,,,,
206,07/2011,good,7294.5,8105,,,,,,,,
206,09/2011,poor,4052.5,8105,,,,,,,,
206,04/2013,good,8105,8105,,,,,,,,
206,03/2014,poor,3242,8105,,,,,,,,
206,03/2015,good,8105,8105,,,,,,,,
206,03/2016,good,8105,8105,,,,,,,,
206,05/2017,poor,4052.5,8105,,,,,,,,
206,09/2018,good,7699.75,8105,,,,,,,,
206,07/2019,good,7294.5,8105,,,,,,,,
206,09/2020,good,8105,8105,,,,,,,,
206,04/2022,good,8105,8105,,,,,,,,
206,05/2023,poor,4863,8105,,,,,,,,
194,07/2004,NA,NA,8110,Blurry image,,,,,,,
194,08/2005,poor,4866,8110,cloudy ,,,,,,,
194,12/2005,good,6488,8110,,,,,,,,
194,08/2006,poor,3244,8110,two images,,,,,,,
194,09/2006,good,8110,8110,,,,,,,,
194,06/2009,bad,1622,8110,,,,,,,,
194,06/2010,bad,1216.5,8110,,,,,,,,
194,09/2010,bad,0,8110,,,,,,,,
194,06/2011,good,6488,8110,,,,,,,,
194,07/2011,poor,4866,8110,,,,,,,,
194,09/2011,bad,2433,8110,,,,,,,,
194,08/2012,bad,0,8110,,,,,,,,
194,04/2013,good,8110,8110,,,,,,,,
194,03/2014,good,6893.5,8110,,,,,,,,
194,3/2015,good,8110,8110,,,,,,,,
194,03/2016,good,8110,8110,,,,,,,,
194,05/2017,bad,0,8110,,,,,,,,
194,09/2018,bad,0,8110,,,,,,,,
194,07/2019,bad,0,8110,,,,,,,,
194,09/2020,bad ,0,8110,,,,,,,,
194,06/2021,bad,0,8110,,,,,,,,
194,04/2022,good,8110,8110,,,,,,,,
71,07/2003,good,8115,8115,,,,,,,,
71,05/2004,good,8115,8115,,,,,,,,
71,07/2004,good,8115,8115,,,,,,,,
71,09/2004,good,8115,8115,,,,,,,,
71,08/2005,good,8115,8115,,,,,,,,
71,12/2005,good,8115,8115,,,,,,,,
71,03/2006,poor,6492,8115,,,,,,,,
71,08/2006,good,8115,8115,2 images,,,,,,,
71,05/2008,bad,0,8115,,,,,,,,
71,10/2008,bad,0,8115,b/w image,,,,,,,
71,06/2009,good,7709.25,8115,,,,,,,,
71,06/2010,good,6492,8115,,,,,,,,
71,09/2010,good,8115,8115,2 images,,,,,,,
71,11/2010,NA,NA,8115,b/w image,,,,,,,
71,06/2011,good,6492,8115,,,,,,,,
71,07/2011,good,8115,8115,,,,,,,,
71,09/2011,good,8115,8115,,,,,,,,
71,04/2012,NA,NA,8115,b/w image,,,,,,,
71,05/2012,good,8115,8115,,,,,,,,
71,08/2012,good,8115,8115,,,,,,,,
71,01/2013,NA,NA,8115,b/w image,,,,,,,
71,04/2013,good,8115,8115,,,,,,,,
71,06/2013,good,8115,8115,,,,,,,,
71,03/2014,good,8115,8115,,,,,,,,
71,03/2015,good,8115,8115,,,,,,,,
71,03/2016,good,8115,8115,,,,,,,,
71,05/2017,good,8115,8115,,,,,,,,
71,09/2018,good,8115,8115,,,,,,,,
71,05/2020,good,8115,8115,,,,,,,,
71,09/2020,good,7303.5,8115,,,,,,,,
71,04/2022,good,8115,8115,,,,,,,,
71,05/2023,good,8115,8115,vegetation change/ more staturation?,,,,,,,
249,07/2003,NA,NA,8109,blurry image,,,,,,,
249,05/2004,good,8109,8109,,,,,,,,
249,07/2004,NA,NA,8109,blurry image,,,,,,,
249,09/2004,NA,NA,8109,same and blurry image,,,,,,,
249,11/2004,bad,1621.8,8109,grazing?,,,,,,,
249,08/2005,bad,2432.7,8109,,,,,,,,
249,12/2005,bad,3243.6,8109,,,,,,,,
249,08/2006,bad,1621.8,8109,2 images,,,,,,,
249,09/2006,NA,NA,8109,bad image,,,,,,,
249,05/2008,NA,NA,8109,b/w image,,,,,,,
249,10/2008,NA,NA,8109,b/w image,,,,,,,
249,06/2009,good,8109,8109,"2 images, 2nd image is b/w",,,,,,,
249,03/2010,NA,NA,8109,b/w image,,,,,,,
249,05/2010,NA,NA,8109,bad image,,,,,,,
249,06/2010,bad,3243.6,8109,,,,,,,,
249,07/2010,NA,NA,8109,b/w image,,,,,,,
249,08/2010,NA,NA,8109,b/w image,,,,,,,
249,09/2010,bad,3243.6,8109,2 images,,,,,,,
249,11/2010,NA,NA,8109,b/w image,,,,,,,
249,06/2011,poor,4054.5,8109,,,,,,,,
249,07/2011,poor,4054.5,8109,,,,,,,,
249,09/2011,bad,2432.7,8109,,,,,,,,
249,10/2011,poor,5676.3,8109,grazing on site,,,,,,,
249,04/2012,NA,NA,8109,b/w image,,,,,,,
249,05/2012,poor,4054.5,8109,,,,,,,,
249,08/2012,poor,4054.5,8109,grazing on site,,,,,,,
249,01/2013,NA,NA,8109,b/w image,,,,,,,
249,04/2013,good,8109,8109,grazing nearby,,,,,,,
249,06/2013,bad,810.9,8109,grazing nearby,,,,,,,
249,03/2014,bad,2432.7,8109,grazing nearby,,,,,,,
249,03/2014,poor,3243.6,8109,,,,,,,,
249,06/2015,bad,810.9,8109,,,,,,,,
249,03/2016,good,8109,8109,,,,,,,,
249,05/2017,good,8109,8109,,,,,,,,
249,09/2018,good,6487.2,8109,,,,,,,,
249,07/2020,poor,4865.4,8109,,,,,,,,
249,09/2020,good,8109,8109,,,,,,,,
249,05/2021,good,8109,8109,,,,,,,,
249,04/2022,good,8109,8109,,,,,,,,
249,05/2022,good,8109,8109,,,,,,,,
249,05/2023,good,8109,8109,,,,,,,,
70,07/2003,NA,NA,8103,blurry image,,,,,,,
70,08/2003,bad,0,8103,,,,,,,,
70,09/2003,good,8103,8103,,,,,,,,
70,05/2004,poor,4051.5,8103,half of the field was cut,,,,,,,
70,07/2004,poor,4051.5,8103,blurry image,,,,,,,
70,09/2004,bad,810.3,8103,,,,,,,,
70,08/2005,bad,0,8103,,,,,,,,
70,12/2005,bad,0,8103,,,,,,,,
70,03/2006,bad,0,8103,,,,,,,,
70,08/2006,bad,2430.9,8103,2 images,,,,,,,
70,09/2006,bad,0,8103,looks like all dirt,,,,,,,
70,10/2006,bad,0,8103,,,,,,,,
70,05/2008,poor,4051.5,8103,,,,,,,,
70,06/2009,bad,3241.2,8103,,,,,,,,
70,05/2010,NA,NA,8103,b/w image,,,,,,,
70,06/2010,poor,4051.5,8103,,,,,,,,
70,07/2010,NA,NA,8103,b/w image,,,,,,,
70,09/2010,bad,810.3,8103,2 images,,,,,,,
70,11/2010,NA,NA,8103,b/w image,,,,,,,
70,06/2011,bad,810.3,8103,,,,,,,,
70,07/2011,good,8103,8103,,,,,,,,
70,09/2011,good,8103,8103,,,,,,,,
70,04/2012,NA,NA,8103,b/w image,,,,,,,
70,05/2012,bad,1215.45,8103,,,,,,,,
70,08/2012,good,6887.55,8103,,,,,,,,
70,01/2013,NA,NA,8103,b/w image,,,,,,,
70,04/2013,good,5672.1,8103,,,,,,,,
70,06/2013,bad,2430.9,8103,,,,,,,,
70,03/2014,bad,3241.2,8103,,,,,,,,
70,03/2015,bad,3241.2,8103,,,,,,,,
70,06/2015,poor,4051.5,8103,,,,,,,,
70,03/2016,good,8103,8103,,,,,,,,
70,05/2017,poor,5266.95,8103,,,,,,,,
70,09/2018,bad,3241.2,8103,,,,,,,,
70,07/2020,bad,3241.2,8103,same image as previous year (9/2018),,,,,,,
70,09/2020,bad,1620.6,8103,,,,,,,,
70,02/2021,bad,0,8103,,,,,,,,
70,08/2021,bad,0,8103,,,,,,,,
70,04/2022,bad,0,8103,,,,,,,,
70,05/2023,good,6482.4,8103,,,,,,,,
189,09/2003,NA,NA,6216,,,,,,,,
189,03/2004,bad,0,6216,,,,,,,,
189,06/2004,bad,186.48,6216,,,,,,,,
189,07/2004,bad,248.64,6216,,,,,,,,
189,08/2004,bad,310.8,6216,,,,,,,,
189,09/2004,bad,186.48,6216,,,,,,,,
189,12/2004,bad,0,6216,,,,,,,,
189,01/2005,bad,0,6216,,,,,,,,
189,02/2005,bad,0,6216,,,,,,,,
189,03/2005,bad,0,6216,,,,,,,,
189,12/2005,bad,559.44,6216,,,,,,,,
189,02/2006,bad,0,6216,,,,,,,,
189,06/2009,bad,0,6216,,,,,,,,
189,10/2010,bad,0,6216,,,,,,,,
189,08/2011,bad,0,6216,,,,,,,,
189,08/2013,bad,0,6216,,,,,,,,
